facekit_cohort,syndrome_name,syndrome_id,internal_syndrome_name,internal_syndrome_id
NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT EARLY-ONSET GENERALIZED EPILEPSY; NEDEGE__d73bd326,NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT EARLY-ONSET GENERALIZED EPILEPSY; NEDEGE,414,NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT EARLY-ONSET GENERALIZED EPILEPSY; NEDEGE,414
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7__e4bbb232,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,532,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 7; DEE7,532
POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS__26bb18cc,POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS,289,POIRIER-BIENVENU NEURODEVELOPMENTAL SYNDROME; POBINDS,289
Glut1 deficiency syndrome__006d0109,Glut1 deficiency syndrome,562,Glut1 deficiency syndrome,562
Oculocutaneous albinism__94a78bdc,Oculocutaneous albinism,89,Oculocutaneous albinism,89
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5__2b4fdd88","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",27,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 5; MRD5",27
Usher syndrome__d8bd0e2a,Usher syndrome,495,Usher syndrome,495
Hermansky-Pudlak syndrome__e5ac2d1d,Hermansky-Pudlak syndrome,170,Hermansky-Pudlak syndrome,170
GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA__65900b47,GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA,355,GLOBAL DEVELOPMENTAL DELAY WITH SPEECH AND BEHAVIORAL ABNORMALITIES; GDSBA,355
CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA__d98af59c,CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA,517,CEREBELLAR DYSFUNCTION WITH VARIABLE COGNITIVE AND BEHAVIORAL ABNORMALITIES; CECBA,517
"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 6, WITH OR WITHOUT SEIZURES; MRD6__9c001fbd","INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 6, WITH OR WITHOUT SEIZURES; MRD6",95,"INTELLECTUAL DEVELOPMENTAL DISORDER, AUTOSOMAL DOMINANT 6, WITH OR WITHOUT SEIZURES; MRD6",95
Methylmalonic aciduria and homocystinuria__9330e6fb,Methylmalonic aciduria and homocystinuria,574,Methylmalonic aciduria and homocystinuria,574
Immunodeficiency-centromeric instability-facial anomalies__6d8ff5a8,Immunodeficiency-centromeric instability-facial anomalies,217,Immunodeficiency-centromeric instability-facial anomalies,217
ATAXIA-TELANGIECTASIA; AT__d9228db4,ATAXIA-TELANGIECTASIA; AT,412,ATAXIA-TELANGIECTASIA; AT,412
TAF4__e136707b,TAF4,283,TAF4,283
ALAZAMI-YUAN SYNDROME; ALYUS__d89cc1a3,ALAZAMI-YUAN SYNDROME; ALYUS,448,ALAZAMI-YUAN SYNDROME; ALYUS,448
FBXW7__cbba0000,FBXW7,112,FBXW7,112
DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB__26eb0a7c,DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,223,DEVELOPMENTAL DELAY WITH OR WITHOUT INTELLECTUAL IMPAIRMENT OR BEHAVIORAL ABNORMALITIES; DDIB,223
BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME; BIS__3ca55639,BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME; BIS,163,BLEPHAROPHIMOSIS-IMPAIRED INTELLECTUAL DEVELOPMENT SYNDROME; BIS,163
ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD__cac34c15,ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,399,ASPARAGINE SYNTHETASE DEFICIENCY; ASNSD,399
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28__cda55692,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,165,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 28; DEE28,165
CDH8__93c2de42,CDH8,143,CDH8,143
BASAL CELL NEVUS SYNDROME; BCNS__586ba947,BASAL CELL NEVUS SYNDROME; BCNS,490,BASAL CELL NEVUS SYNDROME; BCNS,490
"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL__33a670a2","CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",410,"CHROMOSOME 1p36 DELETION SYNDROME, DISTAL",410
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94__b1a1679a,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,285,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 94; DEE94,285
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4__1d6385dd,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,265,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 4; DEE4,265
"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD__e0c2f543","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD",153,"NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL DOMINANT; NDHMSD",153
"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD__b455fad8","EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD",287,"EPILEPSY, FOCAL, WITH SPEECH DISORDER AND WITH OR WITHOUT IMPAIRED INTELLECTUAL DEVELOPMENT; FESD",287
SHUKLA-VERNON SYNDROME; SHUVER__6bffd3e6,SHUKLA-VERNON SYNDROME; SHUVER,486,SHUKLA-VERNON SYNDROME; SHUVER,486
DOWN SYNDROME__9402613d,DOWN SYNDROME,101,DOWN SYNDROME,101
"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL__191d996d","CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",61,"CHROMOSOME 22q11.2 DELETION SYNDROME, DISTAL",61
CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED__8d6102fc,CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED,536,CONGENITAL HEART DEFECTS AND ECTODERMAL DYSPLASIA; CHDED,536
GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS__b3882490,GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,356,GOMEZ-LOPEZ-HERNANDEZ SYNDROME; GLHS,356
DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65__d1067454,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65,528,DEVELOPMENTAL AND EPILEPTIC ENCEPHALOPATHY 65; DEE65,528
NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL__163528b1,NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL,133,NEURODEVELOPMENTAL DISORDER WITH SEVERE MOTOR IMPAIRMENT AND ABSENT LANGUAGE; NEDMIAL,133
"Muscular dystrophy-dystroglycanopathy, type A__ee5ba88d","Muscular dystrophy-dystroglycanopathy, type A",580,"Muscular dystrophy-dystroglycanopathy, type A",580
CIMDAG SYNDROME; CIMDAG__c83dd446,CIMDAG SYNDROME; CIMDAG,424,CIMDAG SYNDROME; CIMDAG,424
Spondyloepimetaphyseal dysplasia with joint laxity__a8ecd4be,Spondyloepimetaphyseal dysplasia with joint laxity,489,Spondyloepimetaphyseal dysplasia with joint laxity,489
TCEAL1__9a47ca54,TCEAL1,255,TCEAL1,255
RADIO-TARTAGLIA SYNDROME; RATARS__43a2d10f,RADIO-TARTAGLIA SYNDROME; RATARS,457,RADIO-TARTAGLIA SYNDROME; RATARS,457
DEGCAGS SYNDROME; DEGCAGS__8d383ebb,DEGCAGS SYNDROME; DEGCAGS,445,DEGCAGS SYNDROME; DEGCAGS,445
"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA__fd9c20a9","MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",108,"MANNOSIDOSIS, ALPHA B, LYSOSOMAL; MANSA",108
GERODERMA OSTEODYSPLASTICUM; GO__d2f7b6e5,GERODERMA OSTEODYSPLASTICUM; GO,173,GERODERMA OSTEODYSPLASTICUM; GO,173
WRINKLY SKIN SYNDROME; WSS__572dbc73,WRINKLY SKIN SYNDROME; WSS,403,WRINKLY SKIN SYNDROME; WSS,403
KDM2B__f01c6c4c,KDM2B,204,KDM2B,204
"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST__37283aa2","SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST",392,"SPONDYLOEPIMETAPHYSEAL DYSPLASIA, ISIDOR-TOUTAIN TYPE; SEMDIST",392
Griscelli syndrome__eebe07fb,Griscelli syndrome,539,Griscelli syndrome,539
PSMC5__499deb40,PSMC5,169,PSMC5,169
"INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES; IDNADFS__ba7a9877","INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES; IDNADFS",553,"INTELLECTUAL DEVELOPMENTAL DISORDER WITH NASAL SPEECH, DYSMORPHIC FACIES, AND VARIABLE SKELETAL ANOMALIES; IDNADFS",553
PPFIA3__7543902b,PPFIA3,442,PPFIA3,442
Diamond-Blackfan anemia__454976d9,Diamond-Blackfan anemia,371,Diamond-Blackfan anemia,371
"Congenital disorders of glycosylation, type II__36f28646","Congenital disorders of glycosylation, type II",388,"Congenital disorders of glycosylation, type II",388
"COGNITIVE FUNCTION 1, SOCIAL; CGF1__59cdb587","COGNITIVE FUNCTION 1, SOCIAL; CGF1",140,"COGNITIVE FUNCTION 1, SOCIAL; CGF1",140
RAHMAN SYNDROME; RMNS__8f57e066,RAHMAN SYNDROME; RMNS,45,RAHMAN SYNDROME; RMNS,45
"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH__7a96c3df","NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH",241,"NEURODEVELOPMENTAL DISORDER WITH DYSMORPHIC FACIES, IMPAIRED SPEECH, AND HYPOTONIA; NEDDISH",241
H3-3A__c6b632c2,H3-3A,184,H3-3A,184
H3-3B__7c81fade,H3-3B,171,H3-3B,171
SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC__5ef56226,SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC,276,SPONDYLOEPIPHYSEAL DYSPLASIA CONGENITA; SEDC,276
H4C3__b85d8d66,H4C3,304,H4C3,304
H4C5__3d3281db,H4C5,192,H4C5,192
H4C9__2d342103,H4C9,458,H4C9,458
LESSEL-KREIENKAMP SYNDROME; LESKRES__2790b7ef,LESSEL-KREIENKAMP SYNDROME; LESKRES,177,LESSEL-KREIENKAMP SYNDROME; LESKRES,177
CHROMOSOME 18q DELETION SYNDROME__b16f4535,CHROMOSOME 18q DELETION SYNDROME,564,CHROMOSOME 18q DELETION SYNDROME,564
RECQL__f0416151,RECQL,437,RECQL,437
TRPM3__e917fe2e,TRPM3,456,TRPM3,456
NAE1__c162e7d5,NAE1,377,NAE1,377
PGM2L1__92be65c6,PGM2L1,466,PGM2L1,466
ARPC4__780f575d,ARPC4,334,ARPC4,334
FRA10AC1__6118a2d4,FRA10AC1,343,FRA10AC1,343
ZSCAN10__7d9fb978,ZSCAN10,471,ZSCAN10,471
RIDDLE SYNDROME; RIDL__592ca236,RIDDLE SYNDROME; RIDL,491,RIDDLE SYNDROME; RIDL,491
TMEM147__051c779b,TMEM147,138,TMEM147,138
"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS__d72fd173","FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",578,"FACIAL DYSMORPHISM, IMMUNODEFICIENCY, LIVEDO, AND SHORT STATURE; FILS",578
Hyper-IgE recurrent infection syndrome__482f9cfe,Hyper-IgE recurrent infection syndrome,55,Hyper-IgE recurrent infection syndrome,55
DPH5__0b49fde6,DPH5,338,DPH5,338
THUMPD1__a714a9bc,THUMPD1,333,THUMPD1,333
Myotonic dystrophy__a4837143,Myotonic dystrophy,576,Myotonic dystrophy,576
Growth hormone insensitivity syndrome with immune dysregulation__68695b44,Growth hormone insensitivity syndrome with immune dysregulation,365,Growth hormone insensitivity syndrome with immune dysregulation,365
Facioscapulohumeral muscular dystrophy__15b1ad31,Facioscapulohumeral muscular dystrophy,345,Facioscapulohumeral muscular dystrophy,345
INSULIN-LIKE GROWTH FACTOR I DEFICIENCY__673052bc,INSULIN-LIKE GROWTH FACTOR I DEFICIENCY,522,INSULIN-LIKE GROWTH FACTOR I DEFICIENCY,522
LARON SYNDROME__702a7f94,LARON SYNDROME,527,LARON SYNDROME,527
WEISS-KRUSZKA SYNDROME; WSKA__295192ca,WEISS-KRUSZKA SYNDROME; WSKA,92,WEISS-KRUSZKA SYNDROME; WSKA,92
INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN__553e60cb,INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,62,INTELLECTUAL DEVELOPMENTAL DISORDER WITH PERSISTENCE OF FETAL HEMOGLOBIN,62
